user_id,timestamp,group,landing_page,converted
795665,12:09:05 AM,control,old_page,0
761872,12:37:49 AM,treatment,new_page,0
805323,12:49:09 AM,treatment,new_page,0
773378,12:50:15 AM,treatment,new_page,0
699577,12:45:16 AM,treatment,new_page,0
817533,12:38:04 AM,control,old_page,1
810362,12:40:14 AM,control,old_page,1
688483,12:29:15 AM,treatment,new_page,1
724955,12:42:17 AM,control,old_page,0
932443,12:45:33 AM,control,old_page,0
928876,12:41:51 AM,treatment,new_page,1
716829,12:34:19 AM,control,old_page,0
722726,12:14:53 AM,treatment,new_page,0
631354,12:37:57 AM,treatment,new_page,0
706074,12:03:31 AM,treatment,new_page,0
790235,12:06:50 AM,treatment,new_page,0
918080,12:55:11 AM,treatment,new_page,0
871096,12:16:03 AM,treatment,new_page,0
798970,12:37:38 AM,treatment,new_page,0
790921,12:25:22 AM,control,old_page,0
675309,12:31:58 AM,treatment,new_page,0
906979,12:50:24 AM,treatment,new_page,0
903890,12:06:53 AM,control,old_page,0
856809,12:48:06 AM,treatment,new_page,0
681783,12:07:37 AM,control,old_page,0
725081,12:45:26 AM,control,old_page,0
715458,12:05:55 AM,treatment,new_page,1
807700,12:25:42 AM,treatment,new_page,0
826385,12:39:56 AM,control,old_page,0
833814,12:19:46 AM,control,old_page,0
778649,12:15:07 AM,control,old_page,0
682991,12:54:37 AM,control,old_page,0
738223,12:14:56 AM,control,old_page,0
743701,12:20:38 AM,treatment,new_page,0
849888,12:03:23 AM,control,old_page,0
840972,12:55:36 AM,treatment,new_page,0
773223,12:15:32 AM,control,old_page,0
925856,12:28:56 AM,control,old_page,0
776046,12:15:46 AM,treatment,new_page,1
764232,12:23:19 AM,treatment,new_page,0
945514,12:13:18 AM,treatment,new_page,0
911110,12:47:08 AM,control,old_page,0
647011,12:10:31 AM,treatment,new_page,0
840566,12:23:55 AM,treatment,new_page,0
668724,12:02:11 AM,treatment,new_page,0
903047,12:54:35 AM,treatment,new_page,0
688738,12:21:45 AM,treatment,new_page,0
825376,12:20:33 AM,control,old_page,0
905483,12:01:28 AM,treatment,new_page,1
826226,12:56:35 AM,treatment,new_page,0
902329,12:42:25 AM,treatment,new_page,0
945510,12:18:33 AM,treatment,new_page,0
699663,12:25:39 AM,treatment,new_page,0
723714,12:56:31 AM,treatment,new_page,0
